user_id,created_at,location,favorite_count,retweet_count,text
ronaldo99216,Tue Nov 29 01:11:19 +0000 2016,KSA,0,0,"سبحان الله وبحمده عدد خلقه ورضا نفسه وزنة عرشه ومداد كلماته
♻️ https://t.co/Zg4bbAPQj5"
Gen_FoxKids,Tue Nov 29 01:11:19 +0000 2016,"Dayton,Ohio ",0,0,"RT @samueltopher: ""Smoko"" with @samueltopher as Mr Black and @lucindajanehare as Miss Jones for @TropfestNZ 2017 https://t.co/mcIguXZFn5"
Mrussow,Tue Nov 29 01:11:19 +0000 2016,"Winston-Salem, NC",0,0,Oh man! Hope #Gearsanta brings me my first Gretsch! https://t.co/yyJ8ghWbMw @reverbdotcom
ayad_sadeq,Tue Nov 29 01:11:19 +0000 2016,,0,0,"أعوذ بكلمات الله التامات من شر ما خلق
♻️ https://t.co/wDzPP5QhPr"
JT_FlamesFan_17,Tue Nov 29 01:11:19 +0000 2016,"Sylvan Lake, Alberta",0,0,"@SKRollins ah. Ya he's just as stupid. But definitely not as obnoxious, bombastic and childish. Oh,and sans the racist, sexist fucktard part"
_ThotsAreReal,Tue Nov 29 01:11:19 +0000 2016,.     .     . ✈️,0,0,RT @inf: RT if you're not black either. https://t.co/tmuNyymW2D
stormin4909,Tue Nov 29 01:11:19 +0000 2016,Oh,0,0,RT @PrisonPlanet: Such a shame this policy will be ending. https://t.co/9nbfdUuQZa
_TyaneL,Tue Nov 29 01:11:19 +0000 2016,,0,0,Vanessa disse que ia vir aqui no churrasquinho e eu não fui ali kkk
riahtaughtyou,Tue Nov 29 01:11:19 +0000 2016,216,0,0,RT @darlynplease: when naomi put racist russian model kiara's ass on blast! https://t.co/buo20kRTJP
dinhcuongit16,Tue Nov 29 01:11:18 +0000 2016,,0,0,Nhân viên nữ của SNL Hàn Quốc gây phẫn nộ khi chạm vào “chỗ hiểm” của thành viên nhóm nhạc… https://t.co/kkjGhzmWT1 https://t.co/N7o8Rwiptd
regisr_,Tue Nov 29 01:11:19 +0000 2016,NYC,0,0,New Plus Size White/Ivory Lace Wedding Dress Bridal Gown Custom Size 14--26 +  via eBay https://t.co/Wpq4tY7yi0 https://t.co/DJ1zjR7ZD5
TomTheLoud,Tue Nov 29 01:11:19 +0000 2016,"West Virginia, USA",0,0,RT @WVUfootball: Our final #WVU125 Honorary Captain of the season this Saturday will be QB Pat White! https://t.co/I9FO2mWbri
nam_pxq,Tue Nov 29 01:11:19 +0000 2016,,0,0,"RT @YGSTAN_TH: #BLACKPINK - Best New Female Artist
30 ล้านโหวตแตกเรียบร้อยแล้วค่ะ❗️ https://t.co/ZiZuv3sPwY"
